date,dates,rank,song,artist
02/07/2011,01/07/2011,9,The Lazy Song,Bruno Mars
02/07/2011,01/07/2011,10,The Show Goes On,Lupe Fiasco
02/07/2011,01/07/2011,11,Just Can't Get Enough,The Black Eyed Peas
02/07/2011,01/07/2011,12,On The Floor,Jennifer Lopez Featuring Pitbull
02/07/2011,01/07/2011,13,How To Love,Lil Wayne
02/07/2011,01/07/2011,14,Don't Wanna Go Home,Jason Derulo
02/07/2011,01/07/2011,15,Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha
06/08/2011,01/08/2011,1,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
06/08/2011,01/08/2011,2,Last Friday Night (T.G.I.F.),Katy Perry
06/08/2011,01/08/2011,3,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer"
06/08/2011,01/08/2011,4,Super Bass,Nicki Minaj
06/08/2011,01/08/2011,5,Rolling In The Deep,Adele
06/08/2011,01/08/2011,6,How To Love,Lil Wayne
06/08/2011,01/08/2011,7,Tonight Tonight,Hot Chelle Rae
06/08/2011,01/08/2011,8,The Edge Of Glory,Lady Gaga
06/08/2011,01/08/2011,9,Good Life,OneRepublic
06/08/2011,01/08/2011,10,Lighters,Bad Meets Evil Featuring Bruno Mars
06/08/2011,01/08/2011,11,I Wanna Go,Britney Spears
06/08/2011,01/08/2011,12,Dirt Road Anthem,Jason Aldean
06/08/2011,01/08/2011,13,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne"
06/08/2011,01/08/2011,14,E.T.,Katy Perry Featuring Kanye West
06/08/2011,01/08/2011,15,If I Die Young,The Band Perry
03/09/2011,01/09/2011,1,Last Friday Night (T.G.I.F.),Katy Perry
03/09/2011,01/09/2011,2,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
03/09/2011,01/09/2011,3,She Will,Lil Wayne Featuring Drake
03/09/2011,01/09/2011,4,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
03/09/2011,01/09/2011,5,Super Bass,Nicki Minaj
03/09/2011,01/09/2011,6,Lighters,Bad Meets Evil Featuring Bruno Mars
03/09/2011,01/09/2011,7,Pumped Up Kicks,Foster The People
03/09/2011,01/09/2011,8,How To Love,Lil Wayne
03/09/2011,01/09/2011,9,Good Life,OneRepublic
03/09/2011,01/09/2011,10,I Wanna Go,Britney Spears
03/09/2011,01/09/2011,11,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer"
03/09/2011,01/09/2011,12,Tonight Tonight,Hot Chelle Rae
03/09/2011,01/09/2011,13,Rolling In The Deep,Adele
03/09/2011,01/09/2011,14,If I Die Young,The Band Perry
03/09/2011,01/09/2011,15,Stereo Hearts,Gym Class Heroes Featuring Adam Levine
01/10/2011,01/10/2011,1,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
01/10/2011,01/10/2011,2,Someone Like You,Adele
01/10/2011,01/10/2011,3,Pumped Up Kicks,Foster The People
01/10/2011,01/10/2011,4,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
01/10/2011,01/10/2011,5,Stereo Hearts,Gym Class Heroes Featuring Adam Levine
01/10/2011,01/10/2011,6,Lighters,Bad Meets Evil Featuring Bruno Mars
01/10/2011,01/10/2011,7,You Make Me Feel...,Cobra Starship Featuring Sabi
01/10/2011,01/10/2011,8,Cheers (Drink To That),Rihanna
01/10/2011,01/10/2011,9,Super Bass,Nicki Minaj
01/10/2011,01/10/2011,10,You And I,Lady Gaga
01/10/2011,01/10/2011,11,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer"
01/10/2011,01/10/2011,12,How To Love,Lil Wayne
01/10/2011,01/10/2011,13,Last Friday Night (T.G.I.F.),Katy Perry
01/10/2011,01/10/2011,14,Good Life,OneRepublic
01/10/2011,01/10/2011,15,Without You,David Guetta Featuring Usher
05/11/2011,01/11/2011,1,Someone Like You,Adele
05/11/2011,01/11/2011,2,We Found Love,Rihanna Featuring Calvin Harris
05/11/2011,01/11/2011,3,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
05/11/2011,01/11/2011,4,Sexy And I Know It,LMFAO
05/11/2011,01/11/2011,5,Pumped Up Kicks,Foster The People
05/11/2011,01/11/2011,6,Stereo Hearts,Gym Class Heroes Featuring Adam Levine
05/11/2011,01/11/2011,7,Without You,David Guetta Featuring Usher
05/11/2011,01/11/2011,8,You Make Me Feel...,Cobra Starship Featuring Sabi
05/11/2011,01/11/2011,9,Make Me Proud,Drake Featuring Nicki Minaj
05/11/2011,01/11/2011,10,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
05/11/2011,01/11/2011,11,Mistletoe,Justin Bieber
05/11/2011,01/11/2011,12,In The Dark,Dev
05/11/2011,01/11/2011,13,You And I,Lady Gaga
05/11/2011,01/11/2011,14,Super Bass,Nicki Minaj
05/11/2011,01/11/2011,15,Paradise,Coldplay
03/12/2011,01/12/2011,1,We Found Love,Rihanna Featuring Calvin Harris
03/12/2011,01/12/2011,2,Sexy And I Know It,LMFAO
03/12/2011,01/12/2011,3,Someone Like You,Adele
03/12/2011,01/12/2011,4,Without You,David Guetta Featuring Usher
03/12/2011,01/12/2011,5,It Will Rain,Bruno Mars
03/12/2011,01/12/2011,6,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
03/12/2011,01/12/2011,7,Good Feeling,Flo Rida
03/12/2011,01/12/2011,8,Stereo Hearts,Gym Class Heroes Featuring Adam Levine
03/12/2011,01/12/2011,9,Take Care,Drake Featuring Rihanna
03/12/2011,01/12/2011,10,The One That Got Away,Katy Perry
03/12/2011,01/12/2011,11,Rumour Has It / Someone Like You,Glee Cast
03/12/2011,01/12/2011,12,Pumped Up Kicks,Foster The People
03/12/2011,01/12/2011,13,You Make Me Feel...,Cobra Starship Featuring Sabi
03/12/2011,01/12/2011,14,You Da One,Rihanna
03/12/2011,01/12/2011,15,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen
07/01/2012,01/01/2012,1,Sexy And I Know It,LMFAO
07/01/2012,01/01/2012,2,We Found Love,Rihanna Featuring Calvin Harris
07/01/2012,01/01/2012,3,The One That Got Away,Katy Perry
07/01/2012,01/01/2012,4,It Will Rain,Bruno Mars
07/01/2012,01/01/2012,5,Ni**as in Paris,Jay Z Kanye West
07/01/2012,01/01/2012,6,Good Feeling,Flo Rida
07/01/2012,01/01/2012,7,Set Fire To The Rain,Adele
07/01/2012,01/01/2012,8,Someone Like You,Adele
07/01/2012,01/01/2012,9,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
07/01/2012,01/01/2012,10,Dance (A$$),Big Sean Featuring Nicki Minaj
07/01/2012,01/01/2012,11,Stereo Hearts,Gym Class Heroes Featuring Adam Levine
07/01/2012,01/01/2012,12,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
07/01/2012,01/01/2012,13,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen
07/01/2012,01/01/2012,14,Without You,David Guetta Featuring Usher
07/01/2012,01/01/2012,15,Headlines,Drake
04/02/2012,01/02/2012,1,Set Fire To The Rain,Adele
04/02/2012,01/02/2012,2,We Found Love,Rihanna Featuring Calvin Harris
04/02/2012,01/02/2012,3,Good Feeling,Flo Rida
04/02/2012,01/02/2012,4,Turn Me On,David Guetta Featuring Nicki Minaj
04/02/2012,01/02/2012,5,The One That Got Away,Katy Perry
04/02/2012,01/02/2012,6,It Will Rain,Bruno Mars
04/02/2012,01/02/2012,7,Sexy And I Know It,LMFAO
04/02/2012,01/02/2012,8,Stronger (What Doesn't Kill You),Kelly Clarkson
04/02/2012,01/02/2012,9,Ni**as in Paris,Jay Z Kanye West
04/02/2012,01/02/2012,10,Domino,Jessie J
04/02/2012,01/02/2012,11,Rack City,Tyga
04/02/2012,01/02/2012,12,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars
04/02/2012,01/02/2012,13,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
04/02/2012,01/02/2012,14,Dance (A$$),Big Sean Featuring Nicki Minaj
04/02/2012,01/02/2012,15,Work Out,J. Cole
03/03/2012,01/03/2012,1,Part Of Me,Katy Perry
03/03/2012,01/03/2012,2,Set Fire To The Rain,Adele
03/03/2012,01/03/2012,3,I Will Always Love You,Whitney Houston
03/03/2012,01/03/2012,4,Stronger (What Doesn't Kill You),Kelly Clarkson
03/03/2012,01/03/2012,5,Rolling In The Deep,Adele
03/03/2012,01/03/2012,6,We Are Young,fun. Featuring Janelle Monae
03/03/2012,01/03/2012,7,Someone Like You,Adele
03/03/2012,01/03/2012,8,We Found Love,Rihanna Featuring Calvin Harris
03/03/2012,01/03/2012,9,Starships,Nicki Minaj
03/03/2012,01/03/2012,10,Turn Up The Music,Chris Brown
03/03/2012,01/03/2012,11,Turn Me On,David Guetta Featuring Nicki Minaj
03/03/2012,01/03/2012,12,Good Feeling,Flo Rida
03/03/2012,01/03/2012,13,Sexy And I Know It,LMFAO
03/03/2012,01/03/2012,14,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars
03/03/2012,01/03/2012,15,Rack City,Tyga
07/04/2012,01/04/2012,1,We Are Young,fun. Featuring Janelle Monae
07/04/2012,01/04/2012,2,Stronger (What Doesn't Kill You),Kelly Clarkson
07/04/2012,01/04/2012,3,Glad You Came,The Wanted
07/04/2012,01/04/2012,4,Somebody That I Used To Know,Gotye Featuring Kimbra
07/04/2012,01/04/2012,5,Starships,Nicki Minaj
07/04/2012,01/04/2012,6,Set Fire To The Rain,Adele
07/04/2012,01/04/2012,7,Wild Ones,Flo Rida Featuring Sia
07/04/2012,01/04/2012,8,Part Of Me,Katy Perry
07/04/2012,01/04/2012,9,Take Care,Drake Featuring Rihanna
07/04/2012,01/04/2012,10,Turn Me On,David Guetta Featuring Nicki Minaj
07/04/2012,01/04/2012,11,What Makes You Beautiful,One Direction
07/04/2012,01/04/2012,12,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars
07/04/2012,01/04/2012,13,Drive By,Train
07/04/2012,01/04/2012,14,We Found Love,Rihanna Featuring Calvin Harris
07/04/2012,01/04/2012,15,Feel So Close,Calvin Harris
05/05/2012,01/05/2012,1,Somebody That I Used To Know,Gotye Featuring Kimbra
05/05/2012,01/05/2012,2,We Are Young,fun. Featuring Janelle Monae
05/05/2012,01/05/2012,3,Payphone,Maroon 5 Featuring Wiz Khalifa
05/05/2012,01/05/2012,4,Boyfriend,Justin Bieber
05/05/2012,01/05/2012,5,Glad You Came,The Wanted
05/05/2012,01/05/2012,6,Wild Ones,Flo Rida Featuring Sia
05/05/2012,01/05/2012,7,Call Me Maybe,Carly Rae Jepsen
05/05/2012,01/05/2012,8,What Makes You Beautiful,One Direction
05/05/2012,01/05/2012,9,Starships,Nicki Minaj
05/05/2012,01/05/2012,10,Stronger (What Doesn't Kill You),Kelly Clarkson
05/05/2012,01/05/2012,11,Drive By,Train
05/05/2012,01/05/2012,12,Part Of Me,Katy Perry
05/05/2012,01/05/2012,13,Take Care,Drake Featuring Rihanna
05/05/2012,01/05/2012,14,Feel So Close,Calvin Harris
05/05/2012,01/05/2012,15,The Motto,Drake Featuring Lil Wayne
02/06/2012,01/06/2012,1,Somebody That I Used To Know,Gotye Featuring Kimbra
02/06/2012,01/06/2012,2,Call Me Maybe,Carly Rae Jepsen
02/06/2012,01/06/2012,3,Payphone,Maroon 5 Featuring Wiz Khalifa
02/06/2012,01/06/2012,4,We Are Young,fun. Featuring Janelle Monae
02/06/2012,01/06/2012,5,Starships,Nicki Minaj
02/06/2012,01/06/2012,6,Wild Ones,Flo Rida Featuring Sia
02/06/2012,01/06/2012,7,What Makes You Beautiful,One Direction
02/06/2012,01/06/2012,8,Glad You Came,The Wanted
02/06/2012,01/06/2012,9,Boyfriend,Justin Bieber
02/06/2012,01/06/2012,10,Drive By,Train
02/06/2012,01/06/2012,11,Stronger (What Doesn't Kill You),Kelly Clarkson
02/06/2012,01/06/2012,12,Feel So Close,Calvin Harris
02/06/2012,01/06/2012,13,Where Have You Been,Rihanna
02/06/2012,01/06/2012,14,Part Of Me,Katy Perry
02/06/2012,01/06/2012,15,Scream,Usher
07/07/2012,01/07/2012,1,Call Me Maybe,Carly Rae Jepsen
07/07/2012,01/07/2012,2,Payphone,Maroon 5 Featuring Wiz Khalifa
07/07/2012,01/07/2012,3,Somebody That I Used To Know,Gotye Featuring Kimbra
07/07/2012,01/07/2012,4,Wide Awake,Katy Perry
07/07/2012,01/07/2012,5,Where Have You Been,Rihanna
07/07/2012,01/07/2012,6,Lights,Ellie Goulding
07/07/2012,01/07/2012,7,We Are Young,fun. Featuring Janelle Monae
07/07/2012,01/07/2012,8,Starships,Nicki Minaj
07/07/2012,01/07/2012,9,What Makes You Beautiful,One Direction
07/07/2012,01/07/2012,10,Scream,Usher
07/07/2012,01/07/2012,11,Wild Ones,Flo Rida Featuring Sia
07/07/2012,01/07/2012,12,Titanium,David Guetta Featuring Sia
07/07/2012,01/07/2012,13,Glad You Came,The Wanted
07/07/2012,01/07/2012,14,Back In Time,Pitbull
07/07/2012,01/07/2012,15,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz"
04/08/2012,01/08/2012,1,Call Me Maybe,Carly Rae Jepsen
04/08/2012,01/08/2012,2,Payphone,Maroon 5 Featuring Wiz Khalifa
04/08/2012,01/08/2012,3,Wide Awake,Katy Perry
04/08/2012,01/08/2012,4,Lights,Ellie Goulding
04/08/2012,01/08/2012,5,Somebody That I Used To Know,Gotye Featuring Kimbra
04/08/2012,01/08/2012,6,Whistle,Flo Rida
04/08/2012,01/08/2012,7,Where Have You Been,Rihanna
04/08/2012,01/08/2012,8,Titanium,David Guetta Featuring Sia
04/08/2012,01/08/2012,9,Scream,Usher
04/08/2012,01/08/2012,10,Blow Me (One Last Kiss),P!nk
04/08/2012,01/08/2012,11,We Are Young,fun. Featuring Janelle Monae
04/08/2012,01/08/2012,12,Take A Little Ride,Jason Aldean
04/08/2012,01/08/2012,13,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz"
04/08/2012,01/08/2012,14,Some Nights,fun.
04/08/2012,01/08/2012,15,Starships,Nicki Minaj
01/09/2012,01/09/2012,1,We Are Never Ever Getting Back Together,Taylor Swift
01/09/2012,01/09/2012,2,Whistle,Flo Rida
01/09/2012,01/09/2012,3,Lights,Ellie Goulding
01/09/2012,01/09/2012,4,Call Me Maybe,Carly Rae Jepsen
01/09/2012,01/09/2012,5,Wide Awake,Katy Perry
01/09/2012,01/09/2012,6,Some Nights,fun.
01/09/2012,01/09/2012,7,Payphone,Maroon 5 Featuring Wiz Khalifa
01/09/2012,01/09/2012,8,As Long As You Love Me,Justin Bieber Featuring Big Sean
01/09/2012,01/09/2012,9,One More Night,Maroon 5
01/09/2012,01/09/2012,10,Titanium,David Guetta Featuring Sia
01/09/2012,01/09/2012,11,Somebody That I Used To Know,Gotye Featuring Kimbra
01/09/2012,01/09/2012,12,Blow Me (One Last Kiss),P!nk
01/09/2012,01/09/2012,13,Good Time,Owl City & Carly Rae Jepsen
01/09/2012,01/09/2012,14,Everybody Talks,Neon Trees
01/09/2012,01/09/2012,15,Where Have You Been,Rihanna
06/10/2012,01/10/2012,1,One More Night,Maroon 5
06/10/2012,01/10/2012,2,Gangnam Style,PSY
06/10/2012,01/10/2012,3,Some Nights,fun.
06/10/2012,01/10/2012,4,We Are Never Ever Getting Back Together,Taylor Swift
06/10/2012,01/10/2012,5,Blow Me (One Last Kiss),P!nk
06/10/2012,01/10/2012,6,Whistle,Flo Rida
06/10/2012,01/10/2012,7,As Long As You Love Me,Justin Bieber Featuring Big Sean
06/10/2012,01/10/2012,8,Good Time,Owl City & Carly Rae Jepsen
06/10/2012,01/10/2012,9,Too Close,Alex Clare
06/10/2012,01/10/2012,10,Lights,Ellie Goulding
06/10/2012,01/10/2012,11,Everybody Talks,Neon Trees
06/10/2012,01/10/2012,12,Call Me Maybe,Carly Rae Jepsen
06/10/2012,01/10/2012,13,Wide Awake,Katy Perry
06/10/2012,01/10/2012,14,Don't Wake Me Up,Chris Brown
06/10/2012,01/10/2012,15,Pound The Alarm,Nicki Minaj
03/11/2012,01/11/2012,1,One More Night,Maroon 5
03/11/2012,01/11/2012,2,Gangnam Style,PSY
03/11/2012,01/11/2012,3,Some Nights,fun.
03/11/2012,01/11/2012,4,We Are Never Ever Getting Back Together,Taylor Swift
03/11/2012,01/11/2012,5,Die Young,Ke$ha
03/11/2012,01/11/2012,6,As Long As You Love Me,Justin Bieber Featuring Big Sean
03/11/2012,01/11/2012,7,Too Close,Alex Clare
03/11/2012,01/11/2012,8,Diamonds,Rihanna
03/11/2012,01/11/2012,9,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
03/11/2012,01/11/2012,10,Blow Me (One Last Kiss),P!nk
03/11/2012,01/11/2012,11,Don't Wake Me Up,Chris Brown
03/11/2012,01/11/2012,12,Good Time,Owl City & Carly Rae Jepsen
03/11/2012,01/11/2012,13,State Of Grace,Taylor Swift
03/11/2012,01/11/2012,14,Lights,Ellie Goulding
03/11/2012,01/11/2012,15,Locked Out Of Heaven,Bruno Mars
01/12/2012,01/12/2012,1,Diamonds,Rihanna
01/12/2012,01/12/2012,2,One More Night,Maroon 5
01/12/2012,01/12/2012,3,Die Young,Ke$ha
01/12/2012,01/12/2012,4,Locked Out Of Heaven,Bruno Mars
01/12/2012,01/12/2012,5,Some Nights,fun.
01/12/2012,01/12/2012,6,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
01/12/2012,01/12/2012,7,Gangnam Style,PSY
01/12/2012,01/12/2012,8,Ho Hey,The Lumineers
01/12/2012,01/12/2012,9,We Are Never Ever Getting Back Together,Taylor Swift
01/12/2012,01/12/2012,10,I Cry,Flo Rida
01/12/2012,01/12/2012,11,Too Close,Alex Clare
01/12/2012,01/12/2012,12,Home,Phillip Phillips
01/12/2012,01/12/2012,13,Don't Wake Me Up,Chris Brown
01/12/2012,01/12/2012,14,As Long As You Love Me,Justin Bieber Featuring Big Sean
01/12/2012,01/12/2012,15,Clique,"Kanye West, Jay-Z, Big Sean"
05/01/2013,01/01/2013,1,Locked Out Of Heaven,Bruno Mars
05/01/2013,01/01/2013,2,Diamonds,Rihanna
05/01/2013,01/01/2013,3,Ho Hey,The Lumineers
05/01/2013,01/01/2013,4,I Knew You Were Trouble.,Taylor Swift
05/01/2013,01/01/2013,5,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj
05/01/2013,01/01/2013,6,Die Young,Ke$ha
05/01/2013,01/01/2013,7,One More Night,Maroon 5
05/01/2013,01/01/2013,8,I Cry,Flo Rida
05/01/2013,01/01/2013,9,Home,Phillip Phillips
05/01/2013,01/01/2013,10,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
05/01/2013,01/01/2013,11,Don't You Worry Child,Swedish House Mafia Featuring John Martin
05/01/2013,01/01/2013,12,Scream & Shout,will.i.am & Britney Spears
05/01/2013,01/01/2013,13,Try,P!nk
05/01/2013,01/01/2013,14,Some Nights,fun.
05/01/2013,01/01/2013,15,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
02/02/2013,01/02/2013,1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
02/02/2013,01/02/2013,2,Locked Out Of Heaven,Bruno Mars
02/02/2013,01/02/2013,3,Ho Hey,The Lumineers
02/02/2013,01/02/2013,4,Suit & Tie,Justin Timberlake Featuring JAY Z
02/02/2013,01/02/2013,5,I Knew You Were Trouble.,Taylor Swift
02/02/2013,01/02/2013,6,Scream & Shout,will.i.am & Britney Spears
02/02/2013,01/02/2013,7,Don't You Worry Child,Swedish House Mafia Featuring John Martin
02/02/2013,01/02/2013,8,Diamonds,Rihanna
02/02/2013,01/02/2013,9,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj
02/02/2013,01/02/2013,10,Home,Phillip Phillips
02/02/2013,01/02/2013,11,One More Night,Maroon 5
02/02/2013,01/02/2013,12,I Cry,Flo Rida
02/02/2013,01/02/2013,13,Try,P!nk
02/02/2013,01/02/2013,14,Girl On Fire,Alicia Keys Featuring Nicki Minaj
02/02/2013,01/02/2013,15,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar"
02/03/2013,01/03/2013,1,Harlem Shake,Baauer
02/03/2013,01/03/2013,2,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
02/03/2013,01/03/2013,3,Stay,Rihanna Featuring Mikky Ekko
02/03/2013,01/03/2013,4,Scream & Shout,will.i.am & Britney Spears
02/03/2013,01/03/2013,5,I Knew You Were Trouble.,Taylor Swift
02/03/2013,01/03/2013,6,Ho Hey,The Lumineers
02/03/2013,01/03/2013,7,Locked Out Of Heaven,Bruno Mars
02/03/2013,01/03/2013,8,When I Was Your Man,Bruno Mars
02/03/2013,01/03/2013,9,Suit & Tie,Justin Timberlake Featuring JAY Z
02/03/2013,01/03/2013,10,Started From The Bottom,Drake
02/03/2013,01/03/2013,11,Don't You Worry Child,Swedish House Mafia Featuring John Martin
02/03/2013,01/03/2013,12,I Will Wait,Mumford & Sons
02/03/2013,01/03/2013,13,Daylight,Maroon 5
02/03/2013,01/03/2013,14,Girl On Fire,Alicia Keys Featuring Nicki Minaj
02/03/2013,01/03/2013,15,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar"
06/04/2013,01/04/2013,1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
06/04/2013,01/04/2013,2,Harlem Shake,Baauer
06/04/2013,01/04/2013,3,Suit & Tie,Justin Timberlake Featuring JAY Z
06/04/2013,01/04/2013,4,When I Was Your Man,Bruno Mars
06/04/2013,01/04/2013,5,Stay,Rihanna Featuring Mikky Ekko
06/04/2013,01/04/2013,6,Just Give Me A Reason,P!nk Featuring Nate Ruess
06/04/2013,01/04/2013,7,Started From The Bottom,Drake
06/04/2013,01/04/2013,8,Feel This Moment,Pitbull Featuring Christina Aguilera
06/04/2013,01/04/2013,9,Love Me,Lil Wayne Featuring Drake & Future
06/04/2013,01/04/2013,10,I Knew You Were Trouble.,Taylor Swift
06/04/2013,01/04/2013,11,Scream & Shout,will.i.am & Britney Spears
06/04/2013,01/04/2013,12,Daylight,Maroon 5
06/04/2013,01/04/2013,13,Mirrors,Justin Timberlake
06/04/2013,01/04/2013,14,Locked Out Of Heaven,Bruno Mars
06/04/2013,01/04/2013,15,Radioactive,Imagine Dragons
04/05/2013,01/05/2013,1,Just Give Me A Reason,P!nk Featuring Nate Ruess
04/05/2013,01/05/2013,2,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton
04/05/2013,01/05/2013,3,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
04/05/2013,01/05/2013,4,When I Was Your Man,Bruno Mars
04/05/2013,01/05/2013,5,Gentleman,PSY
04/05/2013,01/05/2013,6,Stay,Rihanna Featuring Mikky Ekko
04/05/2013,01/05/2013,7,Mirrors,Justin Timberlake
04/05/2013,01/05/2013,8,Suit & Tie,Justin Timberlake Featuring JAY Z
04/05/2013,01/05/2013,9,Feel This Moment,Pitbull Featuring Christina Aguilera
04/05/2013,01/05/2013,10,Started From The Bottom,Drake
04/05/2013,01/05/2013,11,Heart Attack,Demi Lovato
04/05/2013,01/05/2013,12,Radioactive,Imagine Dragons
04/05/2013,01/05/2013,13,I Love It,Icona Pop Featuring Charli XCX
04/05/2013,01/05/2013,14,Cruise,Florida Georgia Line Featuring Nelly
04/05/2013,01/05/2013,15,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy
01/06/2013,01/06/2013,1,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton
01/06/2013,01/06/2013,2,Just Give Me A Reason,P!nk Featuring Nate Ruess
01/06/2013,01/06/2013,3,Mirrors,Justin Timberlake
01/06/2013,01/06/2013,4,When I Was Your Man,Bruno Mars
01/06/2013,01/06/2013,5,Stay,Rihanna Featuring Mikky Ekko
01/06/2013,01/06/2013,6,Cruise,Florida Georgia Line Featuring Nelly
01/06/2013,01/06/2013,7,Come & Get It,Selena Gomez
01/06/2013,01/06/2013,8,Radioactive,Imagine Dragons
01/06/2013,01/06/2013,9,I Love It,Icona Pop Featuring Charli XCX
01/06/2013,01/06/2013,10,Get Lucky,Daft Punk Featuring Pharrell Williams
01/06/2013,01/06/2013,11,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
01/06/2013,01/06/2013,12,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
01/06/2013,01/06/2013,13,The Way,Ariana Grande Featuring Mac Miller
01/06/2013,01/06/2013,14,Heart Attack,Demi Lovato
01/06/2013,01/06/2013,15,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy
06/07/2013,01/07/2013,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
06/07/2013,01/07/2013,2,Get Lucky,Daft Punk Featuring Pharrell Williams
06/07/2013,01/07/2013,3,Radioactive,Imagine Dragons
06/07/2013,01/07/2013,4,Cruise,Florida Georgia Line Featuring Nelly
06/07/2013,01/07/2013,5,We Can't Stop,Miley Cyrus
06/07/2013,01/07/2013,6,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton
06/07/2013,01/07/2013,7,Mirrors,Justin Timberlake
06/07/2013,01/07/2013,8,Treasure,Bruno Mars
06/07/2013,01/07/2013,9,Come & Get It,Selena Gomez
06/07/2013,01/07/2013,10,Just Give Me A Reason,P!nk Featuring Nate Ruess
06/07/2013,01/07/2013,11,The Way,Ariana Grande Featuring Mac Miller
06/07/2013,01/07/2013,12,I Love It,Icona Pop Featuring Charli XCX
